NAP,CITY,BARANGAY,SUBDIVISION,STREET,LATITUDE,LONGITUDE
ANTFELP419NP003,ANTIPOLO CITY,BGY CUPANG,,STREET 1,14.640197,121.132476
ANTFELP419NP004,ANTIPOLO CITY,BGY CUPANG,,PUROK 3,14.64012254,121.1340821
ANTFELP419NP007,ANTIPOLO CITY,BGY CUPANG,,STREET 1,14.640197,121.132476
ANTFELP419NP008,ANTIPOLO CITY,BGY CUPANG,,PUROK 3,14.64012254,121.1340821
ANTFELP420NP001,ANTIPOLO CITY,BGY CUPANG,,PUROK 3,14.64123556,121.1351153
ANTFELP420NP008,ANTIPOLO CITY,BGY CUPANG,,PUROK 3,14.64123556,121.1351153
ANTFELP422NP001,ANTIPOLO CITY,BGY CUPANG,,PUROK 2,14.6362,121.131081
ANTFELP422NP002,ANTIPOLO CITY,BGY CUPANG,,PUROK 2,14.6362,121.131081
ANTFELP422NP003,ANTIPOLO CITY,BGY CUPANG,,PUROK 2,14.635358,121.13125
ANTFELP422NP005,ANTIPOLO CITY,BGY CUPANG,,PUROK 2,14.6362,121.131081
ANTFELP422NP006,ANTIPOLO CITY,BGY CUPANG,,PUROK 2,14.6362,121.131081
ANTFELP422NP007,ANTIPOLO CITY,BGY CUPANG,,PUROK 2,14.635358,121.13125
ANTFELP532NP001,ANTIPOLO CITY,BGY CUPANG,,MARCOS HWY,14.62585304,121.1437795
ANTFELP532NP002,ANTIPOLO CITY,BGY CUPANG,,MARCOS HWY,14.62585304,121.1437795
ANTFELP532NP003,ANTIPOLO CITY,BGY CUPANG,,MARCOS HWY,14.62586229,121.1449501
ANTFELP532NP004,ANTIPOLO CITY,BGY CUPANG,,MARCOS HWY,14.62586229,121.1449501
ANTFELP591NP001,ANTIPOLO CITY,BGY CUPANG,,MARCOS HWY,14.6258895,121.1442543
ANTFELP591NP002,ANTIPOLO CITY,BGY CUPANG,,MARCOS HWY,14.62584538,121.1436294
ANTFELP591NP003,ANTIPOLO CITY,BGY CUPANG,,MARCOS HWY,14.625806,121.143078
ANTFELP591NP004,ANTIPOLO CITY,BGY CUPANG,,MARCOS HWY,14.62574631,121.1426859
ANTFELP591NP005,ANTIPOLO CITY,BGY CUPANG,,MARCOS HWY,14.62574323,121.1425551
ANTFELP591NP006,ANTIPOLO CITY,BGY CUPANG,,MARCOS HWY,14.62570886,121.1422707
ANTFELP591NP007,ANTIPOLO CITY,BGY CUPANG,,MARCOS HWY,14.62565032,121.1414636
ANTFELP591NP008,ANTIPOLO CITY,BGY CUPANG,,MARCOS HWY,14.62565032,121.1414636
ANTFELP740NP004,ANTIPOLO CITY,BGY CUPANG,,MARCOS HWY COR KINGSWAY RD,14.62486808,121.1471298
ANTFELP740NP005,ANTIPOLO CITY,BGY CUPANG,,MARCOS HWY,14.62510159,121.1467892
ANTFELPA71NP001,ANTIPOLO CITY,BGY CUPANG,,P. OLIVEROS ST,14.632762,121.124399
